"screen_name","created_at","tweet_id","text","extended_tweet","in_reply_to_screen_name","in_reply_to_status_id","retweet_count","favorite_count","truncated","language","in_reply_to_user_id"
"Cognizant","2020-05-06 00:00:00","1257822386709123073","Here’s to the resiliency of our clients — #COVID19 has galvanized a remarkable wave of #innovation and a rapid tran… https://t.co/KjmAInJ6xP","Here’s to the resiliency of our clients — #COVID19 has galvanized a remarkable wave of #innovation and a rapid tran… https://t.co/KjmAInJ6xP",,,"1","19",,"en",
"CDWCorp","2020-05-06 00:00:06","1257822409597636608","Where did the #cloud begin? Explore its humble beginnings and how its evolved via @ciodive https://t.co/PsQ1R7GETo","Where did the #cloud begin? Explore its humble beginnings and how its evolved via @ciodive https://t.co/PsQ1R7GETo",,,"2","1",,"en",
"GoldmanSachs","2020-05-06 00:00:17","1257822455709741059","Ashish Shah, co-chief investment officer for #GSAM’s Global Fixed Income, discusses the wave of fallen angels and w… https://t.co/LvAxhUjyP5","Ashish Shah, co-chief investment officer for #GSAM’s Global Fixed Income, discusses the wave of fallen angels and w… https://t.co/LvAxhUjyP5",,,"2","12",,"en",
"LamResearch","2020-05-06 00:00:23","1257822483647954944","Never say never 😤. Researchers at @UofMaryland developed a new way to mix immiscible, or unmixable, metals at the… https://t.co/2uUJvJ9hqy","Never say never 😤. Researchers at @UofMaryland developed a new way to mix immiscible, or unmixable, metals at the… https://t.co/2uUJvJ9hqy",,,"0","0",,"en",
"HomeDepot","2020-05-06 00:00:26","1257822495136190466","Give mom the perfect gift this #MothersDay—a card you can color together. Download The Home Depot coloring pages no… https://t.co/ivwpL9WAVf","Give mom the perfect gift this #MothersDay—a card you can color together. Download The Home Depot coloring pages no… https://t.co/ivwpL9WAVf",,,"8","47",,"en",
"Verizon","2020-05-06 00:02:00","1257822889002369029","And we’re live! @FaZeClan pros @NateHillTV and @FaZeSway team up with sportscaster @Buck and actor @TheOliverHudson… https://t.co/f42iMCECzp","And we’re live! @FaZeClan pros @NateHillTV and @FaZeSway team up with sportscaster @Buck and actor @TheOliverHudson… https://t.co/f42iMCECzp",,,"24","80",,"en",
"PayPal","2020-05-06 00:02:12","1257822937647738880","Hey #PayItForwardLIVE viewers: If you’re a small business or work for an affected small business, drop your PayPal… https://t.co/d8l2LABM1A","Hey #PayItForwardLIVE viewers: If you’re a small business or work for an affected small business, drop your PayPal… https://t.co/d8l2LABM1A",,,"149","379",,"en",
"Fortinet","2020-05-06 00:13:01","1257825659608616960","#Fortinet, Salesforce @trailhead, @GlobalCyberAlln and @WEFCybersec teamed up to provide accessible cyber education… https://t.co/goZbcYCxth","#Fortinet, Salesforce @trailhead, @GlobalCyberAlln and @WEFCybersec teamed up to provide accessible cyber education… https://t.co/goZbcYCxth",,,"9","16",,"en",
"EXPD_Official","2020-05-06 00:15:04","1257826178016194561","APHIS Announces Online Permits for Fresh Fruit and Vegetable Imports
https://t.co/9PDdhpwswy","APHIS Announces Online Permits for Fresh Fruit and Vegetable Imports
https://t.co/9PDdhpwswy",,,"0","1",,"en",
"F5Networks","2020-05-06 00:15:07","1257826187612753932","F5's Ian Jones shares how we are taking a Human-First approach as customers swiftly adapt to #COVID19:… https://t.co/GBsNuvSJTW","F5's Ian Jones shares how we are taking a Human-First approach as customers swiftly adapt to #COVID19:… https://t.co/GBsNuvSJTW",,,"4","5",,"en",
"HIIndustries","2020-05-06 00:23:48","1257828374904541186","Shipbuilders at #IngallsShipbuilding in Pascagoula, MS, watched and cheered today as the Hurricane Hunters from the… https://t.co/62ZFg8uM8x","Shipbuilders at #IngallsShipbuilding in Pascagoula, MS, watched and cheered today as the Hurricane Hunters from the… https://t.co/62ZFg8uM8x",,,"1","7",,"en",
"SPGlobal","2020-05-06 00:26:57","1257829168903045120","Five of Spain's largest lenders reported dramatic profit decreases in the first quarter. South Africa’s largest ban… https://t.co/YV19ZG1rm4","Five of Spain's largest lenders reported dramatic profit decreases in the first quarter. South Africa’s largest ban… https://t.co/YV19ZG1rm4",,,"1","1",,"en",
"ATT","2020-05-06 00:28:36","1257829584398979072","It's ON. #ThisIsNotAGame https://t.co/gSzdS5SPF6","It's ON. #ThisIsNotAGame https://t.co/gSzdS5SPF6",,,"4","15",,"en",
